Author,Paper Count,Paper IDs
Aakash Varma Nadimpalli,1,P0020
Abdulmohsen Algarni,1,P0012
Ahmad Neyaz Khan,1,P0028
Ajita Rattani,1,P0020
Alessandro Ortis,1,P0014
Andrew Melnik,1,P0025
Antonino Paratore,1,P0014
Arash Heidari,1,P0024
Araz Taeihagh,1,P0009
Asad Malik,1,P0028
Ayat Mahmoud,1,P0011
Carlo Cuccu,1,P0014
Cecilia Pasquini,1,P0008
Christine Dewi,1,P0021
Claudio Gennaro,1,P0014
Darrel Greenhill,1,P0026
Davide Alessandro Coccomini,1,P0014
Davide Lobba,1,P0008
Dennis Holzmann,1,P0025
Diego Gragnaniello,1,P0022
Doaa Sami Khafaga,1,P0004
Dohyeon Kong,1,P0001
Dr. Jabar H. Yousif,1,P0019
Dr. Setyawan Widyarto,1,P0019
Duc-Tien Dang-Nguyen,1,P0007
Dzianis Makaravets,1,P0025
Dzianis Pirshtuk,1,P0025
Eman Abdullah Aldakheel,1,P0004
Eren Akbulut,1,P0025
Fabrizio Falchi,1,P0014
Fakhar Abbas,1,P0009
Farid Ali,1,P0011
Francesco De Natale,1,P0008
Francesco Guarnera,1,P0014
Francesco Laiti,1,P0008
Francesco Marra,1,P0022
Gian Luca Marcialis,1,P0014
Gianpaolo Perelli,1,P0014
Giovanni Ambrosi,1,P0008
Giovanni Puglisi,1,P0014
Giulia Boato,1,P0008
Giulia Orrù,1,P0014
Giuseppe Amato,1,P0014
Gustav Reichert,1,P0025
Harry Cheng,1,P0023
Hasan Dag,1,P0024
Helge Ritter,1,P0025
Hitesh Kumar Sharma,2,P0013; P0017
Hongmei Chi,1,P0002
Hyunbo Cho,1,P0001
Ibrahim Eldesouky Fattoh,1,P0011
Jaebong Cho,1,P0001
Javed Ali Khan,1,P0004
Jean-Christophe Nebel,1,P0026
Jihoon Nam,1,P0001
Kun She,2,P0004; P0012
Linh M. Q. Bui,1,P0014
Liqiang Nie,1,P0023
Luca Guarnera,4,P0005; P0010; P0014; P0018
Luisa Verdoliva,1,P0022
Maksim Miasayedzenkau,1,P0025
Malak Abdullah,1,P0016
Manar Al-Nashash,1,P0016
Manoj Kumar,2,P0013; P0017
Marco Fontani,1,P0014
Maryam Taeb,1,P0002
Masoud Alajmi,1,P0012
Mehmet Unal,1,P0024
Minh Dang,1,P0027
Minoru Kuribayashi,1,P0028
Mohan Kankanhalli,1,P0023
Muhammad Ahmad Nawaz Ul Ghani,2,P0004; P0012
Muhammad Arslan Rauf,2,P0004; P0012
Muhammad Asad Arshed,1,P0021
Muhammad Ibrahim,1,P0021
Muhammad Tanveer,1,P0021
Nicola Messina,1,P0014
Nima Jafari Navimipour,1,P0024
Oliver Giudice,4,P0005; P0010; P0014; P0018
Omar Altamimi,1,P0016
Peter Edwards,1,P0026
Preeti,1,P0017
Preeti Sharma,1,P0013
Qingtong Liu,1,P0015
Quentin Bammey,1,P0003
Roberto Caldelli,1,P0014
Saeed Ahmed,1,P0021
Sani M. Abdullahi,1,P0028
Sara Concas,1,P0014
Sebastiano Battiato,4,P0005; P0010; P0014; P0018
Shahzad Mumtaz,1,P0021
Shumaila Khan,1,P0004
Soha Safwat,1,P0011
Sohail Ahmed Khan,1,P0007
Tan N. Nguyen,1,P0027
Tarek Renusch,1,P0025
Tianqi Xie,1,P0006
Tianyi Wang,1,P0023
Wasin Alkishri,1,P0019
Wei Zeng,1,P0006
Xing Liang,1,P0026
Xiuhua Jiang,1,P0015
Yangyang Guo,1,P0023
Yazeed Yasin Ghadi,1,P0012
Yuan Liu,1,P0006
Yunyue Peng,1,P0006
Zhaoshan Wei,1,P0015
Ziyu Xue,1,P0015
