Source Paper ID,Target Paper ID,Relationship Type,Source Field,Evidence
P0001,P0003,cross_reference,Summary Connections,Explicit connection cited in P0001_summary.md
P0001,P0006,cross_reference,Summary Connections,Explicit connection cited in P0001_summary.md
P0001,P0023,cross_reference,Summary Connections,Explicit connection cited in P0001_summary.md
P0002,P0007,cross_reference,Summary Connections,Explicit connection cited in P0002_summary.md
P0002,P0011,cross_reference,Summary Connections,Explicit connection cited in P0002_summary.md
P0003,P0005,cross_reference,Summary Connections,Explicit connection cited in P0003_summary.md
P0003,P0010,cross_reference,Summary Connections,Explicit connection cited in P0003_summary.md
P0003,P0016,cross_reference,Summary Connections,Explicit connection cited in P0003_summary.md
P0003,P0018,cross_reference,Summary Connections,Explicit connection cited in P0003_summary.md
P0003,P0023,cross_reference,Summary Connections,Explicit connection cited in P0003_summary.md
P0004,P0012,cross_reference,Summary Connections,Explicit connection cited in P0004_summary.md
P0004,P0012,same_research_group,Authors,Co-authored by Muhammad Ahmad Nawaz Ul Ghani
P0005,P0003,cross_reference,Summary Connections,Explicit connection cited in P0005_summary.md
P0005,P0007,same_dataset,Dataset,Evaluated on shared benchmark dataset: FaceForensics++
P0005,P0008,cross_reference,Summary Connections,Explicit connection cited in P0005_summary.md
P0005,P0010,cross_reference,Summary Connections,Explicit connection cited in P0005_summary.md
P0005,P0010,same_research_group,Authors,Co-authored by Luca Guarnera
P0005,P0014,cross_reference,Summary Connections,Explicit connection cited in P0005_summary.md
P0005,P0014,same_research_group,Authors,Co-authored by Luca Guarnera
P0005,P0015,same_dataset,Dataset,Evaluated on shared benchmark dataset: CelebA (real)
P0005,P0018,cross_reference,Summary Connections,Explicit connection cited in P0005_summary.md
P0005,P0018,same_research_group,Authors,Co-authored by Luca Guarnera
P0005,P0019,cross_reference,Summary Connections,Explicit connection cited in P0005_summary.md
P0006,P0003,cross_reference,Summary Connections,Explicit connection cited in P0006_summary.md
P0006,P0008,cross_reference,Summary Connections,Explicit connection cited in P0006_summary.md
P0006,P0023,cross_reference,Summary Connections,Explicit connection cited in P0006_summary.md
P0007,P0003,cross_reference,Summary Connections,Explicit connection cited in P0007_summary.md
P0007,P0014,cross_reference,Summary Connections,Explicit connection cited in P0007_summary.md
