Venue,Paper Count,Paper IDs
"ACM Transactions on Multimedia Computing, Communications, and Applications",2,P0018; P0020
Advances in Computer Vision and Pattern Recognition,1,P0022
Applied Sciences,1,P0008
Computers,1,P0021
"Computers, Materials & Continua",1,P0004
Discover Computing,1,P0013
Electronics,1,P0027
IEEE Access,5,P0005; P0007; P0011; P0026; P0028
IEEE Open Journal of Signal Processing,1,P0003
IEEE Transactions on Pattern Analysis and Machine Intelligence,1,P0025
International Journal of Information and Communication Technology,1,P0006
Journal of Cybersecurity and Privacy,1,P0002
Journal of Imaging,2,P0010; P0014
Journal of Intelligent Manufacturing,1,P0001
Journal of Internet Services and Information Security,1,P0019
Journal of King Saud University - Computer and Information Sciences,1,P0012
Neural Networks,1,P0009
Procedia Computer Science,1,P0017
Proceedings of the 17th International Conference on Information and Communication Systems,1,P0016
Proceedings of the 32nd ACM International Conference on Multimedia,1,P0023
Sensors,1,P0015
WIREs Data Mining and Knowledge Discovery,1,P0024
