keyword,source,date
AI-generated face,seed,2026-07-30
deepfake detection,seed,2026-07-30
synthetic face detection,seed,2026-07-30
facial manipulation forensics,seed,2026-07-30
GAN face detection,seed,2026-07-30
diffusion model face,seed,2026-07-30
cross-generator generalization,seed,2026-07-30
forensic artifacts,seed,2026-07-30
frequency domain forensics,seed,2026-07-30
spatial domain artifacts,seed,2026-07-30
explainable deepfake detection,seed,2026-07-30
attribution map,seed,2026-07-30
zero-shot deepfake detection,seed,2026-07-30
robust face forgery detection,seed,2026-07-30
adversarial evasion deepfake,seed,2026-07-30
StyleGAN detection,seed,2026-07-30
Stable Diffusion face,seed,2026-07-30
out-of-distribution detection,seed,2026-07-30
deep learning forensics,seed,2026-07-30
biometric face spoofing,seed,2026-07-30
