Paper ID,Title,Authors,Year,Venue,Publisher,DOI,Citation Count,Dataset,Architecture,Task,Modality,Explainability,Generalization,Limitations,Future Work,Code Available,Dataset Available,Keywords,Reading Status,Priority,Notes,Folder Location,BibTeX Available,PDF Available,Reviewed,Quality Score,Research Relevance,Owner,Version,Status,Created,Updated
P0001,"A Synthetic Defect Image Generation Method for Enhanced Industrial Defect Detection Based on Inpainting Diffusion and Context-aware Mask Generation","Jaebong Cho, Dohyeon Kong, Jihoon Nam, Hyunbo Cho",2026,Journal of Intelligent Manufacturing,Springer Science and Business Media LLC,10.1007/s10845-026-02915-2,1,Custom industrial defect dataset,Inpainting diffusion model + context-aware mask generation,Industrial defect image generation,Image (industrial defects),No,Not evaluated,Domain-specific to industrial defects; not face-related,Extension to other defect types; real-time generation,unknown,yes,"diffusion model, image generation, defect detection, inpainting, context-aware mask",read,low,"Not directly relevant — focuses on industrial defect generation rather than face detection. Included for diffusion model methodology context.",02_Literature/papers/P0001.pdf,yes,yes,yes,8,low,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0002,"Comparison of Deepfake Detection Techniques through Deep Learning","Maryam Taeb, Hongmei Chi",2022,Journal of Cybersecurity and Privacy,MDPI AG,10.3390/jcp2010007,99,"Augmented Real and Fake Face Detection dataset","Custom CNN, VGG19, DenseNet-121, PCA/SVM",Deepfake face detection (binary classification),Image (face),No,Not evaluated,Small dataset; limited GAN architectures tested; no cross-dataset evaluation,Larger datasets; more architectures; cross-dataset generalization,yes,no,"deepfake detection, deep learning, CNN, VGG19, DenseNet, face detection, data augmentation",read,medium,"Comparative study of detection architectures. VGG19 achieved ~95% accuracy. No generalization analysis limits relevance to RQ.",02_Literature/papers/P0002.pdf,yes,yes,yes,18,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0003,"Synthbuster: Towards Detection of Diffusion Model Generated Images",Quentin Bammey,2024,IEEE Open Journal of Signal Processing,Institute of Electrical and Electronics Engineers (IEEE),10.1109/OJSP.2023.3337714,84,"Synthbuster dataset (9000 synthetic images from 9 diffusion models + RAISE-1k real images)",Spectral analysis (high-pass residual + Fourier transform); no deep learning,Detection of diffusion model generated images,Image (general + face),Yes (frequency-based interpretable method),Tested across 9 diffusion models (DALL-E 2/3; Stable Diffusion 1.3/1.4/2/XL; GLIDE; Midjourney v5; Adobe Firefly),"Focused on diffusion models only; limited robustness to heavy post-processing; not tested on GAN images",Extending to GAN detection; robustness to social media compression; real-time deployment,yes,yes,"diffusion model detection, spectral analysis, frequency domain, image forensics, Synthbuster, Fourier transform",read,high,"Highly relevant: introduces interpretable frequency-based detection for diffusion models with multi-generator evaluation. Provides both method + dataset. Key for cross-generator generalization research.",02_Literature/papers/P0003.pdf,yes,yes,yes,32,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0004,"Enhancing Security and Privacy in Distributed Face Recognition Systems Through Blockchain and GAN Technologies","Muhammad Ahmad Nawaz Ul Ghani, Kun She, Muhammad Arslan Rauf, Shumaila Khan, Javed Ali Khan, Eman Abdullah Aldakheel, Doaa Sami Khafaga",2024,"Computers, Materials & Continua",Tech Science Press,10.32604/cmc.2024.049611,7,unknown,GAN-based face generation + blockchain,Privacy-enhanced face recognition,Image (face),No,Not evaluated,Focus on privacy rather than detection; blockchain adds complexity,Integration with detection systems; scalability analysis,yes,no,"GAN, blockchain, face recognition, privacy, security, distributed systems",read,low,"Peripheral relevance — focuses on GAN-based face generation for privacy rather than detection. May provide context on GAN face generation quality.",02_Literature/papers/P0004.pdf,yes,yes,yes,10,low,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0005,"Fighting Deepfake by Exposing the Convolutional Traces on Images","Luca Guarnera, Oliver Giudice, Sebastiano Battiato",2020,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),10.1109/ACCESS.2020.3023037,127,"CelebA (real), GDWCT, StarGAN, AttGAN, StyleGAN, StyleGAN2 (fake); FaceForensics++",Expectation-Maximization (EM) algorithm for convolutional trace extraction,Deepfake detection via GAN fingerprint extraction,Image (face),Yes (white-box: interpretable convolutional trace fingerprints),Tested across 5 GAN architectures + FaceForensics++,"Limited to GAN-generated images; not tested on diffusion models; relies on specific GAN architectural traces",Extension to diffusion models; robustness to post-processing; real-time detection,yes,yes,"deepfake detection, convolutional traces, GAN fingerprint, EM algorithm, image forensics, CelebA, FaceForensics++",read,high,"Core paper: pioneering interpretable GAN fingerprint method. Same research group as P0010/P0014/P0018. Highly relevant for understanding forensic artifacts across generators.",02_Literature/papers/P0005.pdf,yes,yes,yes,30,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0006,"Diffusion-generated face image identification technique based on diffusion reconstruction error feature","Wei Zeng, Tianqi Xie, Yuan Liu, Yunyue Peng",2025,International Journal of Information and Communication Technology,Inderscience Publishers,10.1504/IJICT.2025.10071014,0,unknown,Diffusion reconstruction error feature extraction,Detection of diffusion-generated face images,Image (face),Partial (reconstruction error provides some interpretability),Specific to diffusion models,"New method with limited validation; low citation count; single venue",Extension to multiple diffusion architectures; cross-dataset evaluation; comparison with GAN detection,unknown,unknown,"diffusion model, face detection, reconstruction error, image forensics, deepfake",read,medium,"Relevant: targets diffusion-generated faces specifically. Novel reconstruction error approach worth investigating for cross-generator generalization.",02_Literature/papers/P0006.pdf,yes,yes,yes,12,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0007,"Deepfake Detection: Analyzing Model Generalization Across Architectures, Datasets, and Pre-Training Paradigms","Sohail Ahmed Khan, Duc-Tien Dang-Nguyen",2024,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),10.1109/ACCESS.2023.3348450,49,"FaceForensics++, CelebDF-V2, DFDC, FakeAVCeleb","8 supervised CNN architectures, 2 transformer-based models; DINO and CLIP self-supervised pre-training",Deepfake detection with cross-dataset generalization analysis,Image (face),No,Extensively evaluated (intra-dataset + cross-dataset + cross-architecture),"Limited to video-derived face crops; does not include diffusion-model-generated faces",Extending to diffusion models; combining supervised and self-supervised strategies; more augmentation strategies,yes,yes,"deepfake detection, generalization, cross-dataset, self-supervised learning, DINO, CLIP, FaceForensics++, CelebDF, DFDC, transfer learning",read,critical,"Directly addresses RQ: comprehensive generalization analysis across architectures and datasets. Key benchmark paper for cross-generator robustness. Must-read priority.",02_Literature/papers/P0007.pdf,yes,yes,yes,35,critical,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0008,"Identifying Synthetic Faces through GAN Inversion and Biometric Traits Analysis","Cecilia Pasquini, Francesco Laiti, Davide Lobba, Giovanni Ambrosi, Giulia Boato, Francesco De Natale",2023,Applied Sciences,MDPI AG,10.3390/app13020816,9,unknown,GAN inversion + biometric trait analysis,Detection of GAN-generated synthetic faces via biometric inconsistencies,Image (face),Yes (biometric trait-based explanation),Limited to GAN-generated faces,"Narrow dataset evaluation; method depends on biometric trait availability",Cross-generator testing; diffusion model extension; larger-scale evaluation,unknown,unknown,"GAN inversion, biometric traits, synthetic face detection, image forensics, facial analysis",read,medium,"Interesting approach using biometric inconsistencies. Relevant for evidence fusion in forensic analyst system. Limited generalization testing.",02_Literature/papers/P0008.pdf,yes,yes,yes,16,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0009,"Improved latent diffusion-based IC-DGAN framework for high-resolution multi-feature and expression manipulation","Fakhar Abbas, Araz Taeihagh",2026,Neural Networks,Elsevier BV,10.1016/j.neunet.2025.108199,2,unknown,IC-DGAN (latent diffusion + GAN hybrid),High-resolution face generation and expression manipulation,Image (face),No,Not evaluated (generation paper),Focus on generation rather than detection; limited to face manipulation,Detection countermeasures; ethical implications; multi-modal extension,yes,no,"diffusion model, GAN, face generation, expression manipulation, latent diffusion, high-resolution",read,low,"Generation-focused paper. Relevant for understanding the adversary (generation capabilities) but not directly for detection methods.",02_Literature/papers/P0009.pdf,yes,yes,yes,14,low,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0010,"Fighting Deepfakes by Detecting GAN DCT Anomalies","Oliver Giudice, Luca Guarnera, Sebastiano Battiato",2021,Journal of Imaging,MDPI AG,10.3390/jimaging7080128,104,Multiple GAN architectures (tested across various generators),"DCT-based frequency analysis + beta statistics classifier (lightweight, non-DL)",Deepfake detection via frequency domain anomalies,Image (face),Yes (frequency-based interpretable: DCT coefficient analysis provides explainable features),Tested across multiple GAN architectures with robustness analysis,"Limited to GAN-generated images; not tested on diffusion models; robustness degrades with heavy compression",Extension to diffusion models; integration with spatial methods; real-time deployment,yes,yes,"deepfake detection, DCT, frequency domain, GAN fingerprint, beta statistics, image forensics, explainability",read,high,"Core forensic method paper: interpretable frequency-domain approach. Same group as P0005/P0018. Robustness testing against compression/transformations is valuable. Key for explainability component.",02_Literature/papers/P0010.pdf,yes,yes,yes,30,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
