Dataset ID, Version, Preprocessing ID, Split ID, Experiment ID, Model ID, Owner, Status, Created, Updated
DS0001,v1.0,PP0001,DS0001_PP0001_SPLIT0001,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0001,v1.0,PP0001,DS0001_PP0001_SPLIT0002,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0002,v1.0,PP0002,DS0002_PP0002_SPLIT0001,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0002,v1.0,PP0002,DS0002_PP0002_SPLIT0002,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0003,v1.0,PP0003,DS0003_PP0003_SPLIT0001,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0003,v1.0,PP0003,DS0003_PP0003_SPLIT0002,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0004,v1.0,PP0006,DS0004_PP0006_SPLIT0001,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0004,v1.0,PP0006,DS0004_PP0006_SPLIT0002,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0005,v1.0,PP0005,DS0005_PP0005_SPLIT0001,,,Registry Agent,ready,2026-09-01,2026-09-01
DS0005,v1.0,PP0005,DS0005_PP0005_SPLIT0002,,,Registry Agent,ready,2026-09-01,2026-09-01
