Split ID,Output ID,Dataset ID,Pipeline ID,Scheme,Seed,Train,Val,Test,Leakage,Status,Created,Updated
SPLIT0001,DS0001_PP0001,DS0001,PP0001,grouped_random,42,34993,7502,7505,PASS,complete,2026-09-01,2026-09-01
SPLIT0002,DS0001_PP0001,DS0001,PP0001,logo,42,40873,7204,1923,PASS,complete,2026-09-01,2026-09-01
SPLIT0001,DS0002_PP0002,DS0002,PP0002,grouped_random,42,36985,7103,7364,PASS,complete,2026-09-01,2026-09-01
SPLIT0002,DS0002_PP0002,DS0002,PP0002,logo,42,39718,6087,5647,PASS,complete,2026-09-01,2026-09-01
SPLIT0001,DS0003_PP0003,DS0003,PP0003,official_holdout,42,101999,18001,20000,PASS,complete,2026-09-01,2026-09-01
SPLIT0002,DS0003_PP0003,DS0003,PP0003,logo,42,59499,10501,70000,PASS,complete,2026-09-01,2026-09-01
SPLIT0001,DS0004_PP0006,DS0004,PP0006,grouped_random,42,7001,1498,1500,PASS,complete,2026-09-01,2026-09-01
SPLIT0002,DS0004_PP0006,DS0004,PP0006,logo,42,7648,1351,1000,PASS,complete,2026-09-01,2026-09-01
SPLIT0001,DS0005_PP0005,DS0005,PP0005,official_holdout,42,64372,11364,21962,PASS,complete,2026-09-01,2026-09-01
SPLIT0002,DS0005_PP0005,DS0005,PP0005,grouped_random,42,68416,14641,14641,PASS,complete,2026-09-01,2026-09-01
