Dataset ID,Stratum,N,Mean,Std,P05,P50,P95,Sample Policy,Notes
DS0001,ALL,3000,0.446158,0.105959,0.273353,0.442902,0.625385,stratified_sample_n=3000_seed=42,"luma mean in [0,1]; thumbnail<=256px"
DS0001,fake|cips|,115,0.470676,0.093705,0.311726,0.465221,0.615687,stratified_sample_n=3000_seed=42,
DS0001,fake|face_synthetics|,115,0.397813,0.121878,0.223390,0.382806,0.612654,stratified_sample_n=3000_seed=42,
DS0001,fake|gansformer|,116,0.418932,0.089223,0.280534,0.418881,0.563227,stratified_sample_n=3000_seed=42,
DS0001,fake|lama|,116,0.440734,0.116037,0.263056,0.434720,0.657665,stratified_sample_n=3000_seed=42,
DS0001,fake|mat|,116,0.449782,0.104085,0.279938,0.443014,0.612671,stratified_sample_n=3000_seed=42,
DS0001,fake|projected_gan|,116,0.455494,0.113653,0.283483,0.431578,0.638916,stratified_sample_n=3000_seed=42,
DS0001,fake|sfhq|,116,0.413254,0.084400,0.263810,0.415828,0.557005,stratified_sample_n=3000_seed=42,
DS0001,fake|stable_diffusion|,116,0.460180,0.054447,0.380950,0.453766,0.553853,stratified_sample_n=3000_seed=42,
DS0001,fake|stargan|,116,0.434859,0.127861,0.218769,0.424277,0.656943,stratified_sample_n=3000_seed=42,
DS0001,fake|stylegan1|,116,0.439509,0.102874,0.277276,0.431420,0.599549,stratified_sample_n=3000_seed=42,
DS0001,fake|stylegan2|,116,0.466125,0.106593,0.310598,0.447056,0.654566,stratified_sample_n=3000_seed=42,
DS0001,fake|stylegan3|,116,0.430996,0.129640,0.261002,0.416248,0.649403,stratified_sample_n=3000_seed=42,
DS0001,fake|taming_transformer|,116,0.476139,0.110339,0.291590,0.486276,0.651602,stratified_sample_n=3000_seed=42,
DS0001,real|none|,1494,0.449679,0.103313,0.278780,0.447548,0.624325,stratified_sample_n=3000_seed=42,
DS0002,ALL,3000,0.446032,0.118142,0.256766,0.440166,0.655103,stratified_sample_n=3000_seed=42,"luma mean in [0,1]; thumbnail<=256px"
DS0002,fake|CoDiff|FE,210,0.635114,0.073273,0.511138,0.638537,0.748985,stratified_sample_n=3000_seed=42,
DS0002,fake|DCFace|FS,243,0.447287,0.091253,0.293595,0.445802,0.588191,stratified_sample_n=3000_seed=42,
DS0002,fake|DiffFace|FS,84,0.440916,0.148526,0.237675,0.445980,0.688159,stratified_sample_n=3000_seed=42,
DS0002,fake|DreamBooth|I2I,206,0.443927,0.059420,0.349084,0.441386,0.540021,stratified_sample_n=3000_seed=42,
DS0002,fake|FreeDoM_I|I2I,119,0.455745,0.134957,0.245185,0.457878,0.657535,stratified_sample_n=3000_seed=42,
DS0002,fake|FreeDoM_T|T2I,133,0.443769,0.134370,0.242376,0.434917,0.661592,stratified_sample_n=3000_seed=42,
DS0002,fake|HPS|T2I,426,0.432907,0.077299,0.314582,0.430880,0.557432,stratified_sample_n=3000_seed=42,
DS0002,fake|Imagic|FE,228,0.457261,0.086041,0.362571,0.440219,0.630418,stratified_sample_n=3000_seed=42,
DS0002,fake|LoRA|I2I,84,0.370276,0.079218,0.261329,0.358496,0.527772,stratified_sample_n=3000_seed=42,
DS0002,fake|Midjourney|T2I,297,0.349275,0.127147,0.180712,0.315676,0.581290,stratified_sample_n=3000_seed=42,
DS0002,fake|SDXL_Refine|I2I,295,0.439147,0.087150,0.307233,0.432044,0.579245,stratified_sample_n=3000_seed=42,
DS0002,fake|SDXL|T2I,289,0.438239,0.082970,0.315095,0.438828,0.578667,stratified_sample_n=3000_seed=42,
DS0002,fake|cycle_diff|FE,386,0.452277,0.133177,0.247673,0.456167,0.661917,stratified_sample_n=3000_seed=42,
DS0003,ALL,3000,0.443099,0.111956,0.268777,0.436370,0.639515,stratified_sample_n=3000_seed=42,"luma mean in [0,1]; thumbnail<=256px"
DS0003,fake|stylegan|test,215,0.437075,0.113774,0.253120,0.434052,0.617398,stratified_sample_n=3000_seed=42,
DS0003,fake|stylegan|train,1070,0.441108,0.110333,0.270146,0.432966,0.628188,stratified_sample_n=3000_seed=42,
DS0003,fake|stylegan|valid,215,0.450662,0.108159,0.281568,0.443948,0.652514,stratified_sample_n=3000_seed=42,
DS0003,real|none|test,215,0.454650,0.120420,0.264492,0.446568,0.664426,stratified_sample_n=3000_seed=42,
DS0003,real|none|train,1070,0.442567,0.112817,0.262280,0.437333,0.636139,stratified_sample_n=3000_seed=42,
DS0003,real|none|valid,215,0.442561,0.107592,0.273425,0.438930,0.635639,stratified_sample_n=3000_seed=42,
DS0004,ALL,3000,0.455404,0.109685,0.289877,0.449507,0.647412,stratified_sample_n=3000_seed=42,"luma mean in [0,1]; thumbnail<=256px"
DS0004,fake|dalle2|,300,0.488259,0.133583,0.283071,0.488266,0.703259,stratified_sample_n=3000_seed=42,
DS0004,fake|dalle3|,300,0.431977,0.087712,0.279790,0.428149,0.574688,stratified_sample_n=3000_seed=42,
DS0004,fake|firefly|,300,0.484921,0.096391,0.336992,0.485061,0.634969,stratified_sample_n=3000_seed=42,
DS0004,fake|glide|,300,0.477044,0.136221,0.226712,0.494304,0.671929,stratified_sample_n=3000_seed=42,
DS0004,fake|midjourney-v5|,300,0.416465,0.135982,0.190555,0.412947,0.651565,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-1-3|,300,0.397436,0.051017,0.320039,0.393898,0.484497,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-1-4|,300,0.394176,0.053163,0.302175,0.391046,0.477210,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-2|,300,0.463847,0.040904,0.396588,0.464085,0.539882,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-xl|,300,0.460713,0.074828,0.331410,0.461442,0.570591,stratified_sample_n=3000_seed=42,
DS0004,real|raise_1k_jpeg|,300,0.539204,0.130441,0.297191,0.561210,0.735336,stratified_sample_n=3000_seed=42,
DS0005,ALL,3000,0.384333,0.122949,0.188804,0.380217,0.592666,stratified_sample_n=3000_seed=42,"luma mean in [0,1]; thumbnail<=256px"
DS0005,real|none|train,2663,0.383408,0.123537,0.183815,0.379475,0.592209,stratified_sample_n=3000_seed=42,
DS0005,real|none|val,337,0.391639,0.117944,0.200850,0.387624,0.595731,stratified_sample_n=3000_seed=42,
