Dataset ID,Stratum,N,Mean,Std,P05,P50,P95,Sample Policy,Notes
DS0001,ALL,3000,0.216457,0.049577,0.137898,0.215796,0.298167,stratified_sample_n=3000_seed=42,"luma std in [0,1]; thumbnail<=256px"
DS0001,fake|cips|,115,0.208953,0.034827,0.154146,0.206673,0.264535,stratified_sample_n=3000_seed=42,
DS0001,fake|face_synthetics|,115,0.197758,0.076649,0.097081,0.185825,0.345189,stratified_sample_n=3000_seed=42,
DS0001,fake|gansformer|,116,0.208826,0.038921,0.148759,0.207290,0.272649,stratified_sample_n=3000_seed=42,
DS0001,fake|lama|,116,0.218483,0.049353,0.146380,0.217832,0.298991,stratified_sample_n=3000_seed=42,
DS0001,fake|mat|,116,0.226960,0.048005,0.145849,0.224337,0.310127,stratified_sample_n=3000_seed=42,
DS0001,fake|projected_gan|,116,0.210643,0.041255,0.144117,0.206994,0.277046,stratified_sample_n=3000_seed=42,
DS0001,fake|sfhq|,116,0.183543,0.050403,0.109494,0.177782,0.277313,stratified_sample_n=3000_seed=42,
DS0001,fake|stable_diffusion|,116,0.228203,0.041046,0.164162,0.228262,0.280662,stratified_sample_n=3000_seed=42,
DS0001,fake|stargan|,116,0.221248,0.053775,0.145214,0.215003,0.309424,stratified_sample_n=3000_seed=42,
DS0001,fake|stylegan1|,116,0.210699,0.042050,0.152604,0.207811,0.289760,stratified_sample_n=3000_seed=42,
DS0001,fake|stylegan2|,116,0.208774,0.040286,0.152833,0.209215,0.268114,stratified_sample_n=3000_seed=42,
DS0001,fake|stylegan3|,116,0.201479,0.054773,0.112842,0.208280,0.285392,stratified_sample_n=3000_seed=42,
DS0001,fake|taming_transformer|,116,0.202503,0.045427,0.132278,0.200871,0.286572,stratified_sample_n=3000_seed=42,
DS0001,real|none|,1494,0.223107,0.048325,0.144656,0.223319,0.304163,stratified_sample_n=3000_seed=42,
DS0002,ALL,3000,0.221480,0.052048,0.142113,0.217764,0.312388,stratified_sample_n=3000_seed=42,"luma std in [0,1]; thumbnail<=256px"
DS0002,fake|CoDiff|FE,210,0.217876,0.052770,0.135998,0.220426,0.307342,stratified_sample_n=3000_seed=42,
DS0002,fake|DCFace|FS,243,0.209750,0.042383,0.144185,0.206621,0.279869,stratified_sample_n=3000_seed=42,
DS0002,fake|DiffFace|FS,84,0.236946,0.053931,0.159712,0.234595,0.323083,stratified_sample_n=3000_seed=42,
DS0002,fake|DreamBooth|I2I,206,0.232098,0.050378,0.148620,0.230243,0.317486,stratified_sample_n=3000_seed=42,
DS0002,fake|FreeDoM_I|I2I,119,0.217110,0.046985,0.141059,0.220313,0.282827,stratified_sample_n=3000_seed=42,
DS0002,fake|FreeDoM_T|T2I,133,0.195368,0.048664,0.117733,0.197687,0.282182,stratified_sample_n=3000_seed=42,
DS0002,fake|HPS|T2I,426,0.264029,0.050947,0.174677,0.265306,0.344817,stratified_sample_n=3000_seed=42,
DS0002,fake|Imagic|FE,228,0.205721,0.045592,0.136761,0.197275,0.272995,stratified_sample_n=3000_seed=42,
DS0002,fake|LoRA|I2I,84,0.228334,0.030820,0.178821,0.232195,0.269592,stratified_sample_n=3000_seed=42,
DS0002,fake|Midjourney|T2I,297,0.217787,0.038111,0.160976,0.218085,0.279724,stratified_sample_n=3000_seed=42,
DS0002,fake|SDXL_Refine|I2I,295,0.191342,0.038092,0.137450,0.189251,0.262666,stratified_sample_n=3000_seed=42,
DS0002,fake|SDXL|T2I,289,0.189410,0.037879,0.137466,0.185063,0.256801,stratified_sample_n=3000_seed=42,
DS0002,fake|cycle_diff|FE,386,0.242877,0.052830,0.162864,0.236380,0.335316,stratified_sample_n=3000_seed=42,
DS0003,ALL,3000,0.223260,0.043524,0.154784,0.221201,0.297321,stratified_sample_n=3000_seed=42,"luma std in [0,1]; thumbnail<=256px"
DS0003,fake|stylegan|test,215,0.221872,0.045916,0.145362,0.222673,0.292678,stratified_sample_n=3000_seed=42,
DS0003,fake|stylegan|train,1070,0.220013,0.044676,0.152134,0.215935,0.298495,stratified_sample_n=3000_seed=42,
DS0003,fake|stylegan|valid,215,0.224058,0.041817,0.158517,0.221778,0.296180,stratified_sample_n=3000_seed=42,
DS0003,real|none|test,215,0.221873,0.044160,0.152217,0.218685,0.298367,stratified_sample_n=3000_seed=42,
DS0003,real|none|train,1070,0.224935,0.042432,0.157590,0.223074,0.293282,stratified_sample_n=3000_seed=42,
DS0003,real|none|valid,215,0.233059,0.039561,0.170373,0.230188,0.297408,stratified_sample_n=3000_seed=42,
DS0004,ALL,3000,0.214091,0.054696,0.125634,0.213228,0.306249,stratified_sample_n=3000_seed=42,"luma std in [0,1]; thumbnail<=256px"
DS0004,fake|dalle2|,300,0.241915,0.058112,0.143626,0.242162,0.330037,stratified_sample_n=3000_seed=42,
DS0004,fake|dalle3|,300,0.226750,0.029879,0.179410,0.227267,0.275092,stratified_sample_n=3000_seed=42,
DS0004,fake|firefly|,300,0.217155,0.032298,0.167046,0.214927,0.274698,stratified_sample_n=3000_seed=42,
DS0004,fake|glide|,300,0.248689,0.060651,0.153319,0.248939,0.348559,stratified_sample_n=3000_seed=42,
DS0004,fake|midjourney-v5|,300,0.222291,0.044606,0.153482,0.221225,0.298622,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-1-3|,300,0.208909,0.041486,0.140427,0.209477,0.273815,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-1-4|,300,0.207985,0.044777,0.139659,0.208086,0.282164,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-2|,300,0.156889,0.046999,0.081089,0.156591,0.236494,stratified_sample_n=3000_seed=42,
DS0004,fake|stable-diffusion-xl|,300,0.178153,0.038978,0.118920,0.173168,0.245237,stratified_sample_n=3000_seed=42,
DS0004,real|raise_1k_jpeg|,300,0.232180,0.065712,0.121864,0.235770,0.336933,stratified_sample_n=3000_seed=42,
DS0005,ALL,3000,0.180861,0.053240,0.097851,0.178974,0.270471,stratified_sample_n=3000_seed=42,"luma std in [0,1]; thumbnail<=256px"
DS0005,real|none|train,2663,0.180930,0.053251,0.097880,0.178712,0.269924,stratified_sample_n=3000_seed=42,
DS0005,real|none|val,337,0.180314,0.053153,0.098273,0.179437,0.273469,stratified_sample_n=3000_seed=42,
