Dataset ID,Generator,Class,Condition,Count,Proportion,Notes
DS0001,none,real,,25000,0.500000,
DS0001,stylegan2,fake,,1924,0.038480,
DS0001,cips,fake,,1923,0.038460,
DS0001,face_synthetics,fake,,1923,0.038460,
DS0001,gansformer,fake,,1923,0.038460,
DS0001,lama,fake,,1923,0.038460,
DS0001,mat,fake,,1923,0.038460,
DS0001,projected_gan,fake,,1923,0.038460,
DS0001,sfhq,fake,,1923,0.038460,
DS0001,stable_diffusion,fake,,1923,0.038460,
DS0001,stargan,fake,,1923,0.038460,
DS0001,stylegan1,fake,,1923,0.038460,
DS0001,stylegan3,fake,,1923,0.038460,
DS0001,taming_transformer,fake,,1923,0.038460,
DS0002,HPS,fake,T2I,8112,0.142166,
DS0002,cycle_diff,fake,FE,7349,0.128794,
DS0002,Midjourney,fake,T2I,5647,0.098966,
DS0002,SDXL_Refine,fake,I2I,5608,0.098283,
DS0002,SDXL,fake,T2I,5508,0.096530,
DS0002,DCFace,fake,FS,4629,0.081125,
DS0002,Imagic,fake,FE,4331,0.075903,
DS0002,CoDiff,fake,FE,4020,0.070452,
DS0002,DreamBooth,fake,I2I,3913,0.068577,
DS0002,FreeDoM_T,fake,T2I,2518,0.044129,
DS0002,FreeDoM_I,fake,I2I,2257,0.039555,
DS0002,LoRA,fake,I2I,1592,0.027900,
DS0002,DiffFace,fake,FS,1576,0.027620,
DS0003,none,real,train,50000,0.357143,
DS0003,stylegan,fake,train,50000,0.357143,
DS0003,none,real,test,10000,0.071429,
DS0003,none,real,valid,10000,0.071429,
DS0003,stylegan,fake,test,10000,0.071429,
DS0003,stylegan,fake,valid,10000,0.071429,
DS0004,dalle2,fake,,1000,0.100010,
DS0004,dalle3,fake,,1000,0.100010,
DS0004,firefly,fake,,1000,0.100010,
DS0004,glide,fake,,1000,0.100010,
DS0004,midjourney-v5,fake,,1000,0.100010,
DS0004,stable-diffusion-1-3,fake,,1000,0.100010,
DS0004,stable-diffusion-1-4,fake,,1000,0.100010,
DS0004,stable-diffusion-2,fake,,1000,0.100010,
DS0004,stable-diffusion-xl,fake,,1000,0.100010,
DS0004,raise_1k_jpeg,real,,999,0.099910,
DS0005,none,real,train,86744,0.887879,
DS0005,none,real,val,10954,0.112121,
