Dataset ID,Width,Height,Count,Proportion,Notes
DS0001,200,200,3000,1.000000,stratified_sample_n=3000_seed=42
DS0002,256,256,575,0.191667,stratified_sample_n=3000_seed=42
DS0002,512,512,429,0.143000,stratified_sample_n=3000_seed=42
DS0002,112,112,243,0.081000,stratified_sample_n=3000_seed=42
DS0002,440,440,180,0.060000,stratified_sample_n=3000_seed=42
DS0002,367,367,176,0.058667,stratified_sample_n=3000_seed=42
DS0002,632,632,166,0.055333,stratified_sample_n=3000_seed=42
DS0002,512,457,162,0.054000,stratified_sample_n=3000_seed=42
DS0002,528,528,161,0.053667,stratified_sample_n=3000_seed=42
DS0002,759,759,140,0.046667,stratified_sample_n=3000_seed=42
DS0002,306,306,123,0.041000,stratified_sample_n=3000_seed=42
DS0002,634,634,74,0.024667,stratified_sample_n=3000_seed=42
DS0002,255,255,71,0.023667,stratified_sample_n=3000_seed=42
DS0002,527,527,62,0.020667,stratified_sample_n=3000_seed=42
DS0002,911,911,62,0.020667,stratified_sample_n=3000_seed=42
DS0002,124,124,31,0.010333,stratified_sample_n=3000_seed=42
DS0002,1024,1024,27,0.009000,stratified_sample_n=3000_seed=42
DS0002,212,212,26,0.008667,stratified_sample_n=3000_seed=42
DS0002,214,214,23,0.007667,stratified_sample_n=3000_seed=42
DS0002,440,438,20,0.006667,stratified_sample_n=3000_seed=42
DS0002,178,178,17,0.005667,stratified_sample_n=3000_seed=42
DS0002,768,768,16,0.005333,stratified_sample_n=3000_seed=42
DS0002,440,409,15,0.005000,stratified_sample_n=3000_seed=42
DS0002,176,176,15,0.005000,stratified_sample_n=3000_seed=42
DS0002,147,147,14,0.004667,stratified_sample_n=3000_seed=42
DS0002,149,149,13,0.004333,stratified_sample_n=3000_seed=42
DS0002,307,307,12,0.004000,stratified_sample_n=3000_seed=42
DS0002,512,423,11,0.003667,stratified_sample_n=3000_seed=42
DS0002,512,491,10,0.003333,stratified_sample_n=3000_seed=42
DS0002,737,759,6,0.002000,stratified_sample_n=3000_seed=42
DS0002,867,911,6,0.002000,stratified_sample_n=3000_seed=42
DS0002,759,737,5,0.001667,stratified_sample_n=3000_seed=42
DS0002,1024,979,4,0.001333,stratified_sample_n=3000_seed=42
DS0002,911,867,4,0.001333,stratified_sample_n=3000_seed=42
DS0002,262,306,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,490,512,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,242,306,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,330,367,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,730,768,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,436,440,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,737,687,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,638,759,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,632,536,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,577,632,2,0.000667,stratified_sample_n=3000_seed=42
