Dataset ID,Generator,Class,Condition,Count,Proportion,Notes
DS0002,HPS,fake,T2I,8112,0.142166,
DS0002,cycle_diff,fake,FE,7349,0.128794,
DS0002,Midjourney,fake,T2I,5647,0.098966,
DS0002,SDXL_Refine,fake,I2I,5608,0.098283,
DS0002,SDXL,fake,T2I,5508,0.096530,
DS0002,DCFace,fake,FS,4629,0.081125,
DS0002,Imagic,fake,FE,4331,0.075903,
DS0002,CoDiff,fake,FE,4020,0.070452,
DS0002,DreamBooth,fake,I2I,3913,0.068577,
DS0002,FreeDoM_T,fake,T2I,2518,0.044129,
DS0002,FreeDoM_I,fake,I2I,2257,0.039555,
DS0002,LoRA,fake,I2I,1592,0.027900,
DS0002,DiffFace,fake,FS,1576,0.027620,
