Dataset ID,Width,Height,Count,Proportion,Notes
DS0002,256,256,575,0.191667,stratified_sample_n=3000_seed=42
DS0002,512,512,429,0.143000,stratified_sample_n=3000_seed=42
DS0002,112,112,243,0.081000,stratified_sample_n=3000_seed=42
DS0002,440,440,180,0.060000,stratified_sample_n=3000_seed=42
DS0002,367,367,176,0.058667,stratified_sample_n=3000_seed=42
DS0002,632,632,166,0.055333,stratified_sample_n=3000_seed=42
DS0002,512,457,162,0.054000,stratified_sample_n=3000_seed=42
DS0002,528,528,161,0.053667,stratified_sample_n=3000_seed=42
DS0002,759,759,140,0.046667,stratified_sample_n=3000_seed=42
DS0002,306,306,123,0.041000,stratified_sample_n=3000_seed=42
DS0002,634,634,74,0.024667,stratified_sample_n=3000_seed=42
DS0002,255,255,71,0.023667,stratified_sample_n=3000_seed=42
DS0002,527,527,62,0.020667,stratified_sample_n=3000_seed=42
DS0002,911,911,62,0.020667,stratified_sample_n=3000_seed=42
DS0002,124,124,31,0.010333,stratified_sample_n=3000_seed=42
DS0002,1024,1024,27,0.009000,stratified_sample_n=3000_seed=42
DS0002,212,212,26,0.008667,stratified_sample_n=3000_seed=42
DS0002,214,214,23,0.007667,stratified_sample_n=3000_seed=42
DS0002,440,438,20,0.006667,stratified_sample_n=3000_seed=42
DS0002,178,178,17,0.005667,stratified_sample_n=3000_seed=42
DS0002,768,768,16,0.005333,stratified_sample_n=3000_seed=42
DS0002,440,409,15,0.005000,stratified_sample_n=3000_seed=42
DS0002,176,176,15,0.005000,stratified_sample_n=3000_seed=42
DS0002,147,147,14,0.004667,stratified_sample_n=3000_seed=42
DS0002,149,149,13,0.004333,stratified_sample_n=3000_seed=42
DS0002,307,307,12,0.004000,stratified_sample_n=3000_seed=42
DS0002,512,423,11,0.003667,stratified_sample_n=3000_seed=42
DS0002,512,491,10,0.003333,stratified_sample_n=3000_seed=42
DS0002,737,759,6,0.002000,stratified_sample_n=3000_seed=42
DS0002,867,911,6,0.002000,stratified_sample_n=3000_seed=42
DS0002,759,737,5,0.001667,stratified_sample_n=3000_seed=42
DS0002,1024,979,4,0.001333,stratified_sample_n=3000_seed=42
DS0002,911,867,4,0.001333,stratified_sample_n=3000_seed=42
DS0002,262,306,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,490,512,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,242,306,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,330,367,3,0.001000,stratified_sample_n=3000_seed=42
DS0002,730,768,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,436,440,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,737,687,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,638,759,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,632,536,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,577,632,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,745,759,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,979,1024,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,438,440,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,446,512,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,306,367,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,486,512,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,202,306,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,354,367,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,205,256,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,490,456,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,340,340,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,490,490,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,438,438,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,490,387,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,585,632,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,527,506,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,618,632,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,634,619,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,323,367,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,507,528,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,407,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,611,730,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,759,638,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,737,638,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,402,527,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,471,527,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,737,588,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,634,454,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,634,495,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,494,632,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,632,618,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,759,745,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,596,758,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,547,759,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,628,634,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,808,911,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,512,456,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,487,487,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,408,408,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,423,457,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,282,307,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,302,307,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,423,512,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,255,220,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,381,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,256,221,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,423,491,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,253,204,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,457,512,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,323,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,222,306,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,237,255,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,387,490,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,306,302,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,381,438,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,352,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,159,212,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,187,214,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,911,808,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,348,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,440,434,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,145,147,1,0.000333,stratified_sample_n=3000_seed=42
