dataset_id,relative_path,class_label,generator,condition,identity,split,age,gender,race,reason_code,content_hash,original_size,current_size,output_format,exif_stripped,processed_path
DS0005,val/7981.jpg,real,none,val,,val,,,,OK,984f0a0d488da555fc675d9415a33d630c331f0acedfe4a483e9e6c3d4b05239,224x224,224x224,PNG,true,images/val/7981.png
DS0005,val/6234.jpg,real,none,val,,val,,,,OK,66c65ad42258168923756eed76b4015bc2e61c2614e16da0488fde419324aa41,224x224,224x224,PNG,true,images/val/6234.png
DS0005,val/1269.jpg,real,none,val,,val,,,,OK,30a85e9224bb64327587b1e2ffd71ee08f21f28d74e26fb96dae75574c413a85,224x224,224x224,PNG,true,images/val/1269.png
DS0005,val/3863.jpg,real,none,val,,val,,,,OK,6c8287d6b4a8604b78c6a2f578ddfd12c184db6e8a9c963490eaa717c1f7fb73,224x224,224x224,PNG,true,images/val/3863.png
DS0005,val/6241.jpg,real,none,val,,val,,,,OK,a41b32c62d92e5e729a19e836e929c992aff238ea1315c03ca77af226b88be8f,224x224,224x224,PNG,true,images/val/6241.png
DS0005,val/10304.jpg,real,none,val,,val,,,,OK,8079eb67ef794cab17663c56673f6a7a9929fa764655be8a2abc0a9169133528,224x224,224x224,PNG,true,images/val/10304.png
DS0005,val/623.jpg,real,none,val,,val,,,,OK,b6dd1259faa6dbb2b97e9646e5ebb2f0bec034a0a3e1bd258d838d732c1fa39f,224x224,224x224,PNG,true,images/val/623.png
DS0005,val/2193.jpg,real,none,val,,val,,,,OK,14199d63cb435f697cf70cba22664018494bf88a34b0228896c9da62dcf587c9,224x224,224x224,PNG,true,images/val/2193.png
DS0005,val/3750.jpg,real,none,val,,val,,,,OK,44ea799eddecaa4b8ccf9de0ed3acb6eeb64153f35e8ac277f70140f0827d930,224x224,224x224,PNG,true,images/val/3750.png
DS0005,val/2008.jpg,real,none,val,,val,,,,OK,faf9acee11612e501366cd5acb7cba2ba6a3d2a95f34cce634c674ae66070f13,224x224,224x224,PNG,true,images/val/2008.png
DS0005,val/10730.jpg,real,none,val,,val,,,,OK,2e058e14e5d995dc018b05b4380aa2181c29c7d966adbbb0f06df3d8de1211ee,224x224,224x224,PNG,true,images/val/10730.png
DS0005,val/5982.jpg,real,none,val,,val,,,,OK,7d9824dfafb2f681fa27860a657b807aa5a5cb536f743e0e67d3c43537ff818e,224x224,224x224,PNG,true,images/val/5982.png
DS0005,val/7737.jpg,real,none,val,,val,,,,OK,8980707bb991605be8cf34c5bea85b9ceec1d9ca31a912cfc48488bfa5a88699,224x224,224x224,PNG,true,images/val/7737.png
DS0005,val/2081.jpg,real,none,val,,val,,,,OK,883829fd35f55f6695ca6795a54ed5db2277d34a72b1b8bd0523a80a3b2657d4,224x224,224x224,PNG,true,images/val/2081.png
DS0005,val/10597.jpg,real,none,val,,val,,,,OK,2e1fe9a338a8ac6da524ea41acc93fab90723e4b9d901a19242ff5bbcc30b3f1,224x224,224x224,PNG,true,images/val/10597.png
DS0005,val/6588.jpg,real,none,val,,val,,,,OK,782f843b6dd4171cb0179f204ce18daa3bc5e3a6ee2d40b1e961f8d1555973d5,224x224,224x224,PNG,true,images/val/6588.png
DS0005,val/10054.jpg,real,none,val,,val,,,,OK,ab859b23dd6c0cd49eb167db37e396cd19e878325103ffdfed651dc51622a4b5,224x224,224x224,PNG,true,images/val/10054.png
DS0005,val/7966.jpg,real,none,val,,val,,,,OK,e34560df8fc0053d7979b3ac316da88e2161994af6f003cb79c5664b35e391c4,224x224,224x224,PNG,true,images/val/7966.png
DS0005,val/3919.jpg,real,none,val,,val,,,,OK,8794c50506541adffa14ed597e26ef52df62d827f3efc39a0620a5104b30767e,224x224,224x224,PNG,true,images/val/3919.png
DS0005,val/6197.jpg,real,none,val,,val,,,,OK,b7343835be103027b72556d7261119fee3d1f76829ef1e8a72d99ceedb35b835,224x224,224x224,PNG,true,images/val/6197.png
DS0005,val/10924.jpg,real,none,val,,val,,,,OK,e4c4a9d84f897eeb9a4d47a74a9f462582064a7ab9681edc7e42b3873b1be4e0,224x224,224x224,PNG,true,images/val/10924.png
DS0005,val/6399.jpg,real,none,val,,val,,,,OK,8b043b516139795595345bb48d017771a5bcc9d8c6033ed80522ff7c66812d1d,224x224,224x224,PNG,true,images/val/6399.png
DS0005,val/9960.jpg,real,none,val,,val,,,,OK,ca442e933375a64cb54113cbe25f197cee4e605a0ca54bbd53b212897ef2dfd6,224x224,224x224,PNG,true,images/val/9960.png
DS0005,val/3757.jpg,real,none,val,,val,,,,OK,7688d1631b4157691e2d33ada796f86cc26e3fe56f540d035fbed8db9331a7b4,224x224,224x224,PNG,true,images/val/3757.png
DS0005,val/9131.jpg,real,none,val,,val,,,,OK,2cf18debeb40e7b47cd1b98bbe42008b46455ba9523c7774a06c611e88b4cfe4,224x224,224x224,PNG,true,images/val/9131.png
DS0005,val/9620.jpg,real,none,val,,val,,,,OK,87ec4a796700c6f9f5af924fd30f5c78c1b3c79f589d1cded3d58a0b046230f7,224x224,224x224,PNG,true,images/val/9620.png
DS0005,val/9062.jpg,real,none,val,,val,,,,OK,c8793be178df88d34affd9806934df7cdc46ad6830da8e45a53a6f5099a48d2b,224x224,224x224,PNG,true,images/val/9062.png
DS0005,val/4489.jpg,real,none,val,,val,,,,OK,b5b34915d05038a2203b19521ec82c330e36de1704138c034fbe27a3ca1dc087,224x224,224x224,PNG,true,images/val/4489.png
DS0005,val/3138.jpg,real,none,val,,val,,,,OK,fbaec028ab758d76394d3c08d92e67cee4cb8529b9713132e76145e3bb855fc1,224x224,224x224,PNG,true,images/val/3138.png
DS0005,val/10213.jpg,real,none,val,,val,,,,OK,90a53fb9c673060026a31b50d0c6eccf338358f945118659f8eb9c8ebfc97998,224x224,224x224,PNG,true,images/val/10213.png
DS0005,val/3417.jpg,real,none,val,,val,,,,OK,0ba3f8c342de0cbbe208da9fbcfab3e47e8393cc0e33caf784e819c2eed2ba23,224x224,224x224,PNG,true,images/val/3417.png
DS0005,val/6074.jpg,real,none,val,,val,,,,OK,52122320e5293ffca2b5492c4f8405900d34f87f580797be6395cc3de98884ef,224x224,224x224,PNG,true,images/val/6074.png
DS0005,val/5705.jpg,real,none,val,,val,,,,OK,c895979e81f1b1de0fca388a2a66388b05be8db7098f8e5a419baa15755ad985,224x224,224x224,PNG,true,images/val/5705.png
DS0005,val/8953.jpg,real,none,val,,val,,,,OK,1dc17ea173c49bb546a6ecc491efe2e13fecce0dec89a99b1475a4457779bcb9,224x224,224x224,PNG,true,images/val/8953.png
DS0005,val/764.jpg,real,none,val,,val,,,,OK,0901f57d09f30af30f2137a6c022fd70ccd8bb3b28b139cbc137c942abd6e638,224x224,224x224,PNG,true,images/val/764.png
DS0005,val/5307.jpg,real,none,val,,val,,,,OK,5f5afc8e188f839396a19b41f7a3e460028819d91279216ee8370ae370566e38,224x224,224x224,PNG,true,images/val/5307.png
DS0005,val/7894.jpg,real,none,val,,val,,,,OK,e523d434b39c3f8ce251a2b5f77d22b67fbfb7518441c6462eb2179271d6bba6,224x224,224x224,PNG,true,images/val/7894.png
DS0005,val/5039.jpg,real,none,val,,val,,,,OK,0caa0a6e4c035bd4e7e4034907c174a5af56931c61db769b226063821943857f,224x224,224x224,PNG,true,images/val/5039.png
DS0005,val/10305.jpg,real,none,val,,val,,,,OK,3de7b171ecbff4de227dce8b9e06034e1258a581ece5b61e134042cc4ec6a251,224x224,224x224,PNG,true,images/val/10305.png
DS0005,val/4407.jpg,real,none,val,,val,,,,OK,a11302b733448084067d493d091290cd6dd63a8a14775338a7e68901b792b8f9,224x224,224x224,PNG,true,images/val/4407.png
DS0005,val/1700.jpg,real,none,val,,val,,,,OK,33b2b06c6a1cc6beda146f6498736e899572daa0b615be123dcb9ad745ff8963,224x224,224x224,PNG,true,images/val/1700.png
DS0005,val/1786.jpg,real,none,val,,val,,,,OK,e83e84432f1f0f2f93146bc9199bc892c6d4eb5e09958f3e405642ae09914035,224x224,224x224,PNG,true,images/val/1786.png
DS0005,val/2907.jpg,real,none,val,,val,,,,OK,c1c1f8ab42993111a94921e76fb4046afc4569d137d10360bb89a806a3f62db9,224x224,224x224,PNG,true,images/val/2907.png
DS0005,val/8930.jpg,real,none,val,,val,,,,OK,a8ed52266f5e9f69b588e10d31fc7b1c52c59a616a7ef756b15e54b53b650c41,224x224,224x224,PNG,true,images/val/8930.png
DS0005,val/6324.jpg,real,none,val,,val,,,,OK,f9fb628f5b411102c514615fc27a75f0094d92d82956a608ba02626085bd35d5,224x224,224x224,PNG,true,images/val/6324.png
DS0005,val/1075.jpg,real,none,val,,val,,,,OK,505f5399a905a7bace88856d7c8477ba3074f59a08df0c6e5ceeb63d0cfe3f2b,224x224,224x224,PNG,true,images/val/1075.png
DS0005,val/4969.jpg,real,none,val,,val,,,,OK,27e8505aa1394b5ee2670834e6e482820fe75ed8e4c1f0786e6b5ec59aed4f18,224x224,224x224,PNG,true,images/val/4969.png
DS0005,val/8983.jpg,real,none,val,,val,,,,OK,b694800b889161125d0c87db7c9f2065d2f4b22722225185881c8f25e437f41f,224x224,224x224,PNG,true,images/val/8983.png
DS0005,val/5584.jpg,real,none,val,,val,,,,OK,2dc27cbabd045696914693a3d7bdb5fa559310cd08632bd31611a14fc84b5953,224x224,224x224,PNG,true,images/val/5584.png
DS0005,val/10627.jpg,real,none,val,,val,,,,OK,d989d3c3ec54351c6a81407a18fea3b59a0dbd5dbb3e5cbae3c02ba2e3d4b2bf,224x224,224x224,PNG,true,images/val/10627.png
DS0005,val/9697.jpg,real,none,val,,val,,,,OK,e684aa57366646688954edd1a8d3e6e8479e220538541917e150eb5d2d7f3669,224x224,224x224,PNG,true,images/val/9697.png
DS0005,val/3501.jpg,real,none,val,,val,,,,OK,8cee58efe322eb919add35e8386460db8c15b3c0df74883697fce9574f4b0915,224x224,224x224,PNG,true,images/val/3501.png
DS0005,val/10037.jpg,real,none,val,,val,,,,OK,2d77ed1ed1fd34bfb4ec0f8a942ff11a57a3fdc26a9295402ca1a391835556db,224x224,224x224,PNG,true,images/val/10037.png
DS0005,val/2863.jpg,real,none,val,,val,,,,OK,d07a288e30e20d37b7e085ab45e1b3bc27ff0fc1e5e7baf0c942a6e38b93926c,224x224,224x224,PNG,true,images/val/2863.png
DS0005,val/771.jpg,real,none,val,,val,,,,OK,472fc84b5cd7095da89e5e73d0212af933f8adbef2c9d0c842ce56a6abebdbf9,224x224,224x224,PNG,true,images/val/771.png
DS0005,val/8352.jpg,real,none,val,,val,,,,OK,bed50b1544bee1369756a63d2535c8f7932150ffa5c6c690c6272ac2fb199373,224x224,224x224,PNG,true,images/val/8352.png
DS0005,val/208.jpg,real,none,val,,val,,,,OK,c1549fe11bcee9c8f72f24a88dc623edf0c0608828029b9fc153620379bd75d3,224x224,224x224,PNG,true,images/val/208.png
DS0005,val/4640.jpg,real,none,val,,val,,,,OK,b080cc88aad37ccd8d1c6233084448188f45a2937a6c4dba42e07a963ea86538,224x224,224x224,PNG,true,images/val/4640.png
DS0005,val/7222.jpg,real,none,val,,val,,,,OK,775972c30cf33b763a85b77e7ee29c8f1c462eb55eb42041a77bf2245b72ebe2,224x224,224x224,PNG,true,images/val/7222.png
DS0005,val/5333.jpg,real,none,val,,val,,,,OK,28dae97b5e9e110db9d8869ca585d739d7a1eee293934bc22d5f7639913c26eb,224x224,224x224,PNG,true,images/val/5333.png
DS0005,val/4125.jpg,real,none,val,,val,,,,OK,832c1b41d76754ff23c1d47b52c57441919ab2625cecfa631bc45d5d0ce6a9cc,224x224,224x224,PNG,true,images/val/4125.png
DS0005,val/6560.jpg,real,none,val,,val,,,,OK,4eb0a2f7c1daa5b8ec697b98883813e157c0cbc797538868d857d311d375f548,224x224,224x224,PNG,true,images/val/6560.png
DS0005,val/2628.jpg,real,none,val,,val,,,,OK,efae0f7be9dd0cd5ef25e389041211ceb93e5be2bea1fa501f821338299ff894,224x224,224x224,PNG,true,images/val/2628.png
DS0005,val/10162.jpg,real,none,val,,val,,,,OK,a8b71d43a65d66a72b8b8896ca95d20d4a1889af35acb5e83130044c7f7fb79f,224x224,224x224,PNG,true,images/val/10162.png
DS0005,val/8104.jpg,real,none,val,,val,,,,OK,0b4183ae12c1bdad6c4c3ac5ade1a1ec4519be2e5e8dc92a43e138e61ffb4978,224x224,224x224,PNG,true,images/val/8104.png
DS0005,val/3363.jpg,real,none,val,,val,,,,OK,497ddfc2aa7e6f2bdc1c833611b03fb90d7d996a18f3be295fb75a1285baf5a8,224x224,224x224,PNG,true,images/val/3363.png
DS0005,val/4009.jpg,real,none,val,,val,,,,OK,a8c4b58cc1d7fd56684221ffae6fdd1b58728255e7ae26b44477f57db6720db9,224x224,224x224,PNG,true,images/val/4009.png
DS0005,val/9645.jpg,real,none,val,,val,,,,OK,20330733c9029a34eefb2455e6af39294ce84d397f5c75238e9ea78ecead7009,224x224,224x224,PNG,true,images/val/9645.png
DS0005,val/9579.jpg,real,none,val,,val,,,,OK,8eaf21a4bbaab1f255af51046f55a078019fe09b03f55d7c4a62321b4db1470c,224x224,224x224,PNG,true,images/val/9579.png
DS0005,val/820.jpg,real,none,val,,val,,,,OK,c45bb69d89aa144c69036cce54ac9a8a23f35f668e2e4e24c488c1f71045fbd9,224x224,224x224,PNG,true,images/val/820.png
DS0005,val/6943.jpg,real,none,val,,val,,,,OK,b5807d160120ee3137c6c490f04be2356965d2ade74a156ac16de01012f26f4f,224x224,224x224,PNG,true,images/val/6943.png
DS0005,val/3228.jpg,real,none,val,,val,,,,OK,0345882345513fea27ec24a2e993a260554edf9f225e9fdbba9dc5295bb85ebd,224x224,224x224,PNG,true,images/val/3228.png
DS0005,val/8075.jpg,real,none,val,,val,,,,OK,c4b62779e4ea4f5064763776ce2a0f6061b3173edfc6782de970e6fe92098fe0,224x224,224x224,PNG,true,images/val/8075.png
DS0005,val/6272.jpg,real,none,val,,val,,,,OK,f0e69ee3a7fdcf1ee46b57dd5416f6baf3e34f94178bc6d6a58571e5f9cb33c1,224x224,224x224,PNG,true,images/val/6272.png
DS0005,val/1789.jpg,real,none,val,,val,,,,OK,bca866e181fef4421ccce1e8e1a8c826f7326f8d98fb867d42fa195af1829890,224x224,224x224,PNG,true,images/val/1789.png
DS0005,val/6365.jpg,real,none,val,,val,,,,OK,a1888ff47103770e58ca73e40a354c6662a3bda2f329b953c541f772d4c34a7a,224x224,224x224,PNG,true,images/val/6365.png
